,Date,Last Close Price,Open,High,Low,Volume,Percentage Changes,Events
279,"Dec 27, 2018",280.75,279.00,281.65,277.30,11.44M,1.48%,
280,"Dec 26, 2018",276.65,276.35,278.80,274.80,8.49M,0.24%,
281,"Dec 24, 2018",276.00,278.85,280.70,275.25,8.54M,-0.27%,
282,"Dec 21, 2018",276.75,283.00,284.00,276.05,6.82M,-2.09%,
283,"Dec 20, 2018",282.65,281.00,284.40,281.00,4.96M,-0.28%,
284,"Dec 19, 2018",283.45,279.00,284.00,278.50,13.13M,1.91%,
285,"Dec 18, 2018",278.15,279.05,280.60,277.00,8.83M,-0.61%,
286,"Dec 17, 2018",279.85,277.00,281.40,275.90,12.23M,1.49%,
287,"Dec 14, 2018",275.75,274.35,277.25,273.90,8.59M,0.16%,
288,"Dec 13, 2018",275.30,279.00,279.40,273.50,15.82M,-0.27%,
289,"Dec 12, 2018",276.05,275.70,277.70,272.60,10.08M,0.49%,
290,"Dec 11, 2018",274.70,268.40,276.05,268.20,10.24M,1.57%,
291,"Dec 10, 2018",270.45,272.00,272.30,269.15,6.68M,-1.31%,
292,"Dec 07, 2018",274.05,274.95,276.20,273.30,8.10M,0.37%,
293,"Dec 06, 2018",273.05,274.50,274.90,271.50,9.68M,-0.84%,
294,"Dec 05, 2018",275.35,281.00,281.80,274.20,11.45M,-2.31%,
295,"Dec 04, 2018",281.85,281.00,283.30,280.95,6.31M,-0.39%,
296,"Dec 03, 2018",282.95,287.25,289.50,282.55,8.57M,-1.00%,
297,"Nov 30, 2018",285.80,289.50,290.00,284.80,8.64M,-0.61%,
298,"Nov 29, 2018",287.55,283.65,289.30,283.45,13.66M,1.90%,
299,"Nov 28, 2018",282.20,285.40,287.95,280.80,8.86M,-0.93%,
300,"Nov 27, 2018",284.85,286.10,286.45,282.80,6.88M,-0.28%,
301,"Nov 26, 2018",285.65,281.25,286.35,280.70,8.95M,1.84%,
302,"Nov 22, 2018",280.50,282.00,284.50,279.60,6.68M,-0.44%,
303,"Nov 21, 2018",281.75,284.50,284.80,280.00,5.65M,-0.74%,
304,"Nov 20, 2018",283.85,285.00,286.65,281.80,7.80M,-0.23%,
305,"Nov 19, 2018",284.50,277.35,285.00,276.50,16.72M,2.87%,
306,"Nov 16, 2018",276.55,275.80,278.30,275.25,12.64M,0.75%,
307,"Nov 15, 2018",274.50,276.85,279.25,273.50,12.15M,-0.71%,
308,"Nov 14, 2018",276.45,278.10,278.40,274.65,6.92M,-0.14%,
309,"Nov 13, 2018",276.85,273.95,277.90,273.15,6.70M,1.10%,
310,"Nov 12, 2018",273.85,277.80,278.20,273.25,7.05M,-1.23%,
311,"Nov 09, 2018",277.25,279.00,279.70,275.90,15.03M,-1.00%,
312,"Nov 07, 2018",280.05,281.00,281.00,278.80,957.14K,0.99%,
